title,company,role,city,work_mode,experience,exp_min,exp_max,exp_avg,salary,description,skills,url,combined_text,extracted_skills,skill_count,skills_list,extracted_skills_str
Data Scientist,Barclays,Data Scientist,Pune,On-site,2-7 Yrs,2,7,4.5,Not disclosed,Knowledge or Experience of Financial Crime Operations domain. Requires in-depth technic...,"data analysis, automation, senior analyst, analytical, machine learning, data quality, continuous improvement, operations",https://www.naukri.com/job-listings-data-scientist-barclays-shared-services-pune-2-to-7-years-200226505030,"Knowledge or Experience of Financial Crime Operations domain. Requires in-depth technic... data analysis, automation, senior analyst, analytical, machine learning, data quality, continuous improvement, operations",[],8,"['data analysis', 'automation', 'senior analyst', 'analytical', 'machine learning', 'data quality', 'continuous improvement', 'operations']","data analysis, automation, senior analyst, analytical, machine learning, data quality, continuous improvement, operations"
Data Scientist-Artificial Intelligence,IBM,Data Scientist,Pune,On-site,3-7 Yrs,3,7,5.0,Not disclosed,Bachelors DegreeRequired educationRequired technical and professional expertise Proof o...,"data scientist, python, ai solutions, ai frameworks, ai, cloud platforms, machine learning, artificial intelligence",https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-pune-3-to-7-years-160226923842,"Bachelors DegreeRequired educationRequired technical and professional expertise Proof o... data scientist, python, ai solutions, ai frameworks, ai, cloud platforms, machine learning, artificial intelligence",[],8,"['data scientist', 'python', 'ai solutions', 'ai frameworks', 'ai', 'cloud platforms', 'machine learning', 'artificial intelligence']","data scientist, python, ai solutions, ai frameworks, ai, cloud platforms, machine learning, artificial intelligence"
Data Scientist-Artificial Intelligence,IBM,Data Scientist,Bengaluru,On-site,3-7 Yrs,3,7,5.0,Not disclosed,Required education . Bachelors Degree . Required technical and professional expertise ....,"data scientist, python, ai solutions, ai frameworks, 73960, ai, cloud platforms, machine learning",https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-3-to-7-years-200226912157,"Required education . Bachelors Degree . Required technical and professional expertise .... data scientist, python, ai solutions, ai frameworks, 73960, ai, cloud platforms, machine learning",[],8,"['data scientist', 'python', 'ai solutions', 'ai frameworks', '73960', 'ai', 'cloud platforms', 'machine learning']","data scientist, python, ai solutions, ai frameworks, 73960, ai, cloud platforms, machine learning"
Data Scientist,Razorthink,Data Scientist,Bengaluru,On-site,0-2 Yrs,0,2,1.0,Not disclosed,"Minimum Qualifications . Bachelors / Masters in a quantitative field (CS, Data Science,...","data science, langgraph, git, docker, data scientist, langchain, mlflow, hugging face",https://www.naukri.com/job-listings-data-scientist-razorthink-bengaluru-0-to-2-years-200226921572,"Minimum Qualifications . Bachelors / Masters in a quantitative field (CS, Data Science,... data science, langgraph, git, docker, data scientist, langchain, mlflow, hugging face",[],8,"['data science', 'langgraph', 'git', 'docker', 'data scientist', 'langchain', 'mlflow', 'hugging face']","data science, langgraph, git, docker, data scientist, langchain, mlflow, hugging face"
Data Scientist-Artificial Intelligence,IBM,Data Scientist,Pune,On-site,3-5 Yrs,3,5,4.0,Not disclosed,Required education . Bachelors Degree Preferred education . Masters Degree Required tec...,"data scientist, kubernetes, python, github, natural language processing, ai, react, bootstrap",https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-pune-3-to-5-years-190226930763,"Required education . Bachelors Degree Preferred education . Masters Degree Required tec... data scientist, kubernetes, python, github, natural language processing, ai, react, bootstrap",[],8,"['data scientist', 'kubernetes', 'python', 'github', 'natural language processing', 'ai', 'react', 'bootstrap']","data scientist, kubernetes, python, github, natural language processing, ai, react, bootstrap"
Data Scientist,Alstom,Data Scientist,Bengaluru,On-site,7-12 Yrs,7,12,9.5,Not disclosed,"Instead, weve listed some that we think will help you succeed and grow in this role: . ...","data scientist, python, ai, numpy, machine learning, artificial intelligence, sql, pandas",https://www.naukri.com/job-listings-data-scientist-alstom-transport-india-ltd-bengaluru-7-to-12-years-200226911931,"Instead, weve listed some that we think will help you succeed and grow in this role: . ... data scientist, python, ai, numpy, machine learning, artificial intelligence, sql, pandas",[],8,"['data scientist', 'python', 'ai', 'numpy', 'machine learning', 'artificial intelligence', 'sql', 'pandas']","data scientist, python, ai, numpy, machine learning, artificial intelligence, sql, pandas"
Data Scientist in Supply chain,EY,Data Scientist,Hyderabad,Hybrid,4-8 Yrs,4,8,6.0,Not disclosed,"Bachelor s or Master s degree in Supply Chain, Engineering, Operations, Computer Scienc...","procurement, generative ai, simulation, supply chain, optimization, data science, artificial intelligence, machine learning",https://www.naukri.com/job-listings-data-scientist-in-supply-chain-ey-hyderabad-pune-bengaluru-4-to-8-years-190226022513,"Bachelor s or Master s degree in Supply Chain, Engineering, Operations, Computer Scienc... procurement, generative ai, simulation, supply chain, optimization, data science, artificial intelligence, machine learning",[],8,"['procurement', 'generative ai', 'simulation', 'supply chain', 'optimization', 'data science', 'artificial intelligence', 'machine learning']","procurement, generative ai, simulation, supply chain, optimization, data science, artificial intelligence, machine learning"
Data Scientist-Artificial Intelligence,IBM,Data Scientist,Pune,On-site,8-10 Yrs,8,10,9.0,Not disclosed,"As a Data Scientist with expertise in Artificial Intelligence, you will skillfully com...","data scientist, kubernetes, python, github, natural language processing, ai, react, bootstrap",https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-pune-8-to-10-years-190226930984,"As a Data Scientist with expertise in Artificial Intelligence, you will skillfully com... data scientist, kubernetes, python, github, natural language processing, ai, react, bootstrap",[],8,"['data scientist', 'kubernetes', 'python', 'github', 'natural language processing', 'ai', 'react', 'bootstrap']","data scientist, kubernetes, python, github, natural language processing, ai, react, bootstrap"
Data Scientist-Artificial Intelligence,IBM,Data Scientist,Pune,On-site,8-9 Yrs,8,9,8.5,Not disclosed,"As a Data Scientist with expertise in Artificial Intelligence, you will skillfully com...","data scientist, kubernetes, python, github, natural language processing, ai, react, bootstrap",https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-pune-8-to-9-years-190226930981,"As a Data Scientist with expertise in Artificial Intelligence, you will skillfully com... data scientist, kubernetes, python, github, natural language processing, ai, react, bootstrap",[],8,"['data scientist', 'kubernetes', 'python', 'github', 'natural language processing', 'ai', 'react', 'bootstrap']","data scientist, kubernetes, python, github, natural language processing, ai, react, bootstrap"
Data Science - Data Scientist,Paytm,Data Scientist,Noida,On-site,0-3 Yrs,0,3,1.5,Not disclosed,"Design, build, evaluate and maintain ML / DL models to detect various types of risk mit...","data science, algorithms, python, scala, ai, operational risk, machine learning, user experience",https://www.naukri.com/job-listings-data-science-data-scientist-one97-communications-limited-noida-bengaluru-0-to-3-years-110226917411,"Design, build, evaluate and maintain ML / DL models to detect various types of risk mit... data science, algorithms, python, scala, ai, operational risk, machine learning, user experience",[],8,"['data science', 'algorithms', 'python', 'scala', 'ai', 'operational risk', 'machine learning', 'user experience']","data science, algorithms, python, scala, ai, operational risk, machine learning, user experience"
