title,company,experience,location,salary,description,skills,url,search_role
Data Scientist,Barclays,2-7 Yrs,Pune,Not disclosed,Knowledge or Experience of Financial Crime Operations domain. Requires in-depth technic...,"Data analysis, Automation, Senior Analyst, Analytical, Machine learning, Data quality, Continuous improvement, Operations",https://www.naukri.com/job-listings-data-scientist-barclays-shared-services-pune-2-to-7-years-200226505030,data-scientist
Data Scientist-Artificial Intelligence,IBM,3-7 Yrs,Pune,Not disclosed,Bachelors DegreeRequired educationRequired technical and professional expertise Proof o...,"data scientist, python, ai solutions, ai frameworks, ai, cloud platforms, machine learning, artificial intelligence",https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-pune-3-to-7-years-160226923842,data-scientist
Data Scientist-Artificial Intelligence,IBM,3-7 Yrs,Bengaluru,Not disclosed,Required education . Bachelors Degree . Required technical and professional expertise ....,"data scientist, python, ai solutions, ai frameworks, 73960, ai, cloud platforms, machine learning",https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-3-to-7-years-200226912157,data-scientist
Data Scientist,Razorthink,0-2 Yrs,Bengaluru,Not disclosed,"Minimum Qualifications . Bachelors / Masters in a quantitative field (CS, Data Science,...","Data Science, LangGraph, Git, Docker, Data Scientist, LangChain, MLflow, Hugging Face",https://www.naukri.com/job-listings-data-scientist-razorthink-bengaluru-0-to-2-years-200226921572,data-scientist
Data Scientist-Artificial Intelligence,IBM,3-5 Yrs,Pune,Not disclosed,Required education . Bachelors Degree Preferred education . Masters Degree Required tec...,"data scientist, kubernetes, python, github, natural language processing, ai, react, bootstrap",https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-pune-3-to-5-years-190226930763,data-scientist
Data Scientist,Alstom,7-12 Yrs,Bengaluru,Not disclosed,"Instead, weve listed some that we think will help you succeed and grow in this role: . ...","data scientist, python, ai, numpy, machine learning, artificial intelligence, sql, pandas",https://www.naukri.com/job-listings-data-scientist-alstom-transport-india-ltd-bengaluru-7-to-12-years-200226911931,data-scientist
Data Scientist in Supply chain,EY,4-8 Yrs,"Hybrid - Hyderabad, Pune, Bengaluru",Not disclosed,"Bachelor s or Master s degree in Supply Chain, Engineering, Operations, Computer Scienc...","Procurement, Generative Ai, Simulation, Supply Chain, Optimization, Data Science, Artificial Intelligence, Machine Learning",https://www.naukri.com/job-listings-data-scientist-in-supply-chain-ey-hyderabad-pune-bengaluru-4-to-8-years-190226022513,data-scientist
Data Scientist-Artificial Intelligence,IBM,8-10 Yrs,Pune,Not disclosed,"As a Data Scientist with expertise in Artificial Intelligence, you will skillfully com...","data scientist, kubernetes, python, github, natural language processing, ai, react, bootstrap",https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-pune-8-to-10-years-190226930984,data-scientist
Data Scientist-Artificial Intelligence,IBM,8-9 Yrs,Pune,Not disclosed,"As a Data Scientist with expertise in Artificial Intelligence, you will skillfully com...","data scientist, kubernetes, python, github, natural language processing, ai, react, bootstrap",https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-pune-8-to-9-years-190226930981,data-scientist
Data Science - Data Scientist,Paytm,0-3 Yrs,"Noida, Bengaluru",Not disclosed,"Design, build, evaluate and maintain ML / DL models to detect various types of risk mit...","data science, algorithms, python, scala, ai, operational risk, machine learning, user experience",https://www.naukri.com/job-listings-data-science-data-scientist-one97-communications-limited-noida-bengaluru-0-to-3-years-110226917411,data-scientist
Data Scientist,Digital Convergence Technologies,5-10 Yrs,Pune,Not disclosed,Masters degree or above in Computer Science or related fieldsThe ideal candidates shoul...,"Machine Learning, Python, Pytorch, Tensorflow, Generative Ai, Natural Language Processing, LLM, Data",https://www.naukri.com/job-listings-data-scientist-digital-convergence-technologies-pune-5-to-10-years-030226013566,data-scientist
Data Scientist,Tata Consultancy Services,10-15 Yrs,"Hyderabad, Pune, Bengaluru",Not disclosed,"Location- Pan IndiaPreferred candidate profile  Experience using Redshift, S3, ADLS, Da...","S3, Databricks Engineer, Redshift, SageMaker, ADLS, Jupyter, Jupyter Notebook, Azure Data Lake",https://www.naukri.com/job-listings-data-scientist-tata-consultancy-services-hyderabad-pune-bengaluru-10-to-15-years-050126025788,data-scientist
Data Scientist,Persolkelly India,4-6 Yrs,"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",Not disclosed,As a member of the Data Science C Analytics Engagement Team your will have the follow...,"Supply chain, Computer science, Data analysis, Prototype, Machine learning, Schema, Information technology, SQL",https://www.naukri.com/job-listings-data-scientist-persolkelly-mumbai-nagpur-thane-nashik-pune-aurangabad-4-to-6-years-200226501875,data-scientist
Data Scientist,Logic Planet,3-6 Yrs,"Indore, Pune, Ahmedabad",Not disclosed,"Bachelor s or master s in computer science, Statistics, Mathematics, Data Science, Engi...","Computer science, Computer vision, data science, Neural networks, Machine learning, Algorithm development, Programming, Mathematics",https://www.naukri.com/job-listings-data-scientist-logicplanet-it-services-indore-pune-ahmedabad-3-to-6-years-200226502226,data-scientist
