work_year,experience_level,employment_type,employee_residence,remote_ratio,company_location,company_size,salary
2022,3,2,26,0,25,1,36773
2023,2,2,75,100,70,1,151800
2022,3,2,75,0,70,1,100000
2022,3,2,75,100,70,1,156600
2023,3,2,75,100,70,1,175000
2023,3,2,75,100,70,1,220000
2023,3,2,75,100,70,1,104650
2022,2,2,29,0,28,1,51716
2022,2,2,75,100,70,1,90000
2023,3,2,75,0,70,1,140000
2021,0,2,75,100,70,1,100000
2023,2,2,75,0,70,1,106250
2023,3,2,75,0,70,1,215000
2022,2,2,75,100,70,1,135000
2022,3,2,75,0,70,1,164996
2022,2,2,75,0,70,1,216200
2022,0,2,75,100,70,1,100000
2022,2,2,29,0,28,1,430967
2023,2,2,75,100,70,1,60400
2023,3,2,75,0,70,1,125000
2022,3,2,75,100,70,1,208000
2023,1,2,75,100,70,1,221000
2023,3,2,75,0,70,1,185900
2023,3,2,75,0,70,1,175000
2023,3,2,11,0,12,1,219000
2022,3,2,75,100,70,2,120000
2022,3,2,29,100,28,1,82280
2023,2,2,29,100,28,1,58331
2022,3,2,75,100,70,1,66000
2022,3,2,75,0,70,1,150000
2022,2,2,9,100,70,1,75000
2022,2,2,5,0,6,0,83171
2021,2,2,20,100,70,2,95746
2020,2,2,20,0,20,0,79833
2022,3,2,75,0,70,1,130000
2023,3,2,75,0,70,1,100000
2023,3,2,75,0,70,1,145000
2022,2,2,75,0,70,0,113000
2023,3,2,75,0,70,1,180000
2022,3,2,75,100,70,1,230000
2023,0,2,75,0,70,1,145885
2023,0,2,75,0,70,0,110680
2020,0,3,42,50,41,2,21669
2022,3,2,75,0,70,1,204500
2022,2,2,31,100,30,1,63040
2022,2,2,75,100,70,1,130000
2023,3,2,75,0,70,1,225000
2022,3,2,75,0,70,1,130000
2023,3,2,75,100,70,1,225000
2023,3,2,75,100,70,1,110000
2023,3,2,75,0,70,1,106020
2023,3,2,75,100,70,1,170000
2022,3,2,75,0,70,0,202800
2022,1,2,75,100,70,1,110000
2022,3,2,75,100,70,1,140000
2022,3,2,75,100,70,1,170000
2023,3,2,75,0,70,1,245000
2023,3,2,75,0,70,1,133300
2021,2,3,39,50,38,1,5409
2020,3,2,75,50,70,0,150000
2022,3,2,75,100,70,1,150000
2023,3,2,75,100,70,1,201450
2022,2,2,29,100,28,1,73880
2022,3,2,75,0,70,1,142200
2022,3,2,75,0,70,0,105700
2023,3,2,75,100,70,1,100000
2022,3,2,75,0,70,1,129300
2023,3,2,75,0,70,1,253200
2022,2,2,75,0,70,1,24000
2022,2,2,11,100,12,1,76814
2023,0,2,75,0,70,1,135000
2023,3,2,75,100,70,1,140000
2023,2,2,75,0,70,1,170000
2023,3,2,75,0,70,1,105500
2022,0,2,75,100,70,1,120000
2023,3,2,75,0,70,1,147000
2023,3,2,75,100,70,1,115000
2023,2,2,75,0,70,1,150000
2023,3,2,16,0,17,1,48000
2023,2,2,75,0,70,1,195000
2022,3,2,75,0,70,1,130000
2022,0,2,75,100,70,2,55000
2022,3,2,75,0,70,1,172200
2023,3,2,75,0,70,1,145900
2023,3,2,75,0,70,1,189110
2022,3,2,75,100,70,1,212800
2022,3,2,75,100,70,1,210000
